"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
23,"Sisters Suite in theHeights
Se habla Español",174986751,"Angie","Manhattan","Washington Heights",40.85264,-73.93976,"Private room",3,6,"6/25/2019",0.44,3,123
24,"airy, earthy room in artistic apt",34322623,"Elizabeth","Manhattan","Washington Heights",40.85133,-73.93844,"Private room",2,18,"5/31/2019",0.36,1,326
25,"Charming Creative Corner in Crown Heights",20976078,"Amer","Brooklyn","Crown Heights",40.67516,-73.95416,"Private room",1,10,"4/15/2019",1.26,1,0
26,"PRIVATE bath &  entrance in hip Greenpoint",56470374,"Jacqueline","Brooklyn","Greenpoint",40.7293,-73.95075,"Private room",21,1,"7/1/2019",1,1,343
27,"Private Guest Loft in a Sunny Etsy-Lovers Apt",10659007,"Kaylen","Brooklyn","Williamsburg",40.70969,-73.94356,"Private room",2,0,NA,NA,1,0
28,"Corner Studio w abundance of natural light, SoHo",260861596,"The James New York - SoHo","Manhattan","SoHo",40.72243,-74.0043,"Private room",1,0,NA,NA,7,276
29,"Perfect Location: Times Square with skyline view",106825862,"Anton","Manhattan","Hell's Kitchen",40.75953,-73.99019,"Private room",3,0,NA,NA,1,37
30,"Private Master BR in 3 BR Apt",10134825,"Kara","Manhattan","Lower East Side",40.71286,-73.98437,"Private room",2,6,"1/2/2016",0.13,4,0
31,"Large, Comfortable 2 Bedroom Apartment",157287318,"Susan","Manhattan","Kips Bay",40.7413,-73.98145,"Entire home/apt",30,35,"6/24/2019",5,1,253
32,"Entire Apartment in super convenient location",1581733,"Alfredo","Brooklyn","Williamsburg",40.7109,-73.95916,"Entire home/apt",2,3,"11/23/2018",0.21,2,0
33,"Beautiful 2 bedroom Duplex Apartment",35660592,"Luis","Queens","Maspeth",40.73976,-73.8954,"Private room",3,27,"5/18/2019",0.78,6,256
34,"sunny 3 Bedrrom great view, Chelsea",2539525,"Eran","Manhattan","Chelsea",40.74221,-73.9974,"Entire home/apt",8,5,"7/23/2018",0.08,1,2
35,"Private Trendy Bushwick Loft",74903132,"Cassidy","Brooklyn","Bushwick",40.69375,-73.92123,"Private room",3,2,"7/27/2016",0.05,1,0
36,"Williamsburg. Non profit . Artist",312722,"Kristian & Di","Brooklyn","Williamsburg",40.7087,-73.95427,"Private room",20,3,"10/27/2018",0.15,4,275
37,"Crown Heights Garden Apt.",314582,"Anthony","Brooklyn","Crown Heights",40.67586,-73.95155,"Private room",2,227,"6/27/2019",2.27,2,287
38,"Marie's Cottage",38363932,"Marie","Queens","Briarwood",40.7143,-73.81834,"Shared room",2,0,NA,NA,1,365
39,"Guest rm, 2 stops from GrandCentral",3578009,"Walther","Queens","Long Island City",40.74955,-73.95081,"Private room",2,37,"10/6/2018",0.58,2,97
40,"Modern Williamsburg apt w/Gym, Roof",315082,"Nicholas","Brooklyn","Williamsburg",40.70877,-73.94889,"Entire home/apt",3,20,"5/7/2017",0.4,1,0
41,"Affordable, Simple, Bright, Furnished NYC Studio!",1623509,"Ngozi","Manhattan","Harlem",40.81891,-73.93786,"Entire home/apt",7,1,"5/21/2019",0.61,1,43
42,"SPACIOUS APT BK/QUEENS w/BACKYARD!",10643810,"Alex","Queens","Ridgewood",40.70988,-73.90845,"Entire home/apt",2,57,"3/8/2017",0.89,1,42
43,"Beautiful bedroom + private bathroom in Bed-Stuy",159811367,"Sergii","Brooklyn","Bedford-Stuyvesant",40.69532,-73.93995,"Private room",30,4,"3/8/2019",0.21,10,365
44,"Sonder | Hanover Square | Elegant 1BR + Rooftop",12243051,"Sonder","Manhattan","Financial District",40.70362,-74.00804,"Entire home/apt",29,0,NA,NA,96,333
45,"Clean, Comfy and Central Midtown Haven!",7709305,"Sasha","Manhattan","Midtown",40.75393,-73.97316,"Entire home/apt",2,29,"6/15/2019",1.58,1,18
46,"Five minutes from Central Manhattan",1648510,"Lee","Manhattan","Roosevelt Island",40.76213,-73.94893,"Entire home/apt",4,9,"6/18/2019",3.38,1,33
47,"Spacious, Crown Heights 3BR (15 mins to Manhattan)",265204049,"Albert","Brooklyn","Crown Heights",40.66765,-73.93928,"Entire home/apt",2,1,"7/1/2019",1,1,343
48,"Apartment near Time Square",51501835,"Jeniffer","Manhattan","Hell's Kitchen",40.76504,-73.99491,"Entire home/apt",30,4,"5/7/2019",0.12,31,339
49,"Artsy bedroom w/garden & private bathroom .",1179779,"Sandrine","Brooklyn","Bedford-Stuyvesant",40.69026,-73.93235,"Private room",2,0,NA,NA,1,58
50,"Haven in the Heights: stylish home away from home",56985517,"Alexandra","Brooklyn","Crown Heights",40.67334,-73.94099,"Entire home/apt",2,48,"6/22/2019",2.44,1,227
51,"Modern Lux Furnished 1 Bedroom Apt",4167576,"Sid","Manhattan","Chelsea",40.7368,-73.9925,"Entire home/apt",1,71,"6/1/2019",1.56,1,256
52,"***Lux Doorman/Furnished,Battery Park ***",52950465,"Gal","Manhattan","Battery Park City",40.7109,-74.01768,"Entire home/apt",30,0,NA,NA,12,280
53,"Charming Brownstone apartment in Brooklyn",4049004,"Poppy","Brooklyn","Bedford-Stuyvesant",40.68245,-73.91951,"Entire home/apt",3,106,"7/5/2019",2.28,1,52
54,"Large 2 Full BR 15min to Manhattan!",2534076,"Helen","Brooklyn","Park Slope",40.6728,-73.97166,"Entire home/apt",4,3,"8/17/2014",0.05,1,0
55,"Williamsburg Penthouse",136267788,"Igor","Brooklyn","Williamsburg",40.72028,-73.94152,"Entire home/apt",5,4,"9/28/2018",0.18,1,0
56,"LARGE  3Br Williamsburg Apt Mins from Manhattan",239517667,"George","Brooklyn","Williamsburg",40.71007,-73.95136,"Entire home/apt",2,20,"6/23/2019",3.73,1,61
57,"*NO GUEST SERVICE FEE* Beekman Tower One Bedroom Suite  #9",205031545,"Red Awning","Manhattan","Midtown",40.75271,-73.96638,"Entire home/apt",28,0,NA,NA,49,257
58,"1 Bedroom Spacious and Cozy UWS Apartment",43043667,"Dina","Manhattan","Upper West Side",40.78105,-73.97633,"Entire home/apt",2,13,"2/28/2019",1.82,1,0
59,"Cozy Nook in Trendy Lower East Side",1723475,"Samantha","Manhattan","Lower East Side",40.71813,-73.98633,"Entire home/apt",3,20,"6/23/2019",3.3,1,279
60,"Private room + office in designer luxury penthouse",117354500,"Charles","Manhattan","Flatiron District",40.73928,-73.98583,"Private room",2,6,"12/2/2018",0.6,1,125
61,"Lofted Bed in Queer Co-Living Space for Men",34614054,"Marco","Brooklyn","Greenpoint",40.72483,-73.9437,"Shared room",1,32,"6/16/2019",1.6,5,346
62,"Comfy, spacious room- Astoria.",9956828,"Nick","Queens","Astoria",40.76168,-73.91976,"Private room",3,2,"12/16/2017",0.1,1,0
63,"Room in house with WIFI and Netflix",119848398,"Devi","Bronx","Parkchester",40.83079,-73.8815,"Private room",2,10,"1/15/2019",0.79,2,283
64,"Gorgeous 2 bedroom condo with a Manhattan skyline",5732940,"Anna","Queens","Long Island City",40.7409,-73.95506,"Entire home/apt",3,1,"6/22/2019",1,1,314
65,"Quiet, Cozy studio walk to Central Park",19034179,"Jennifer","Manhattan","Upper East Side",40.76902,-73.95807,"Entire home/apt",2,2,"1/3/2017",0.07,1,0
66,"Beautiful Room - 20 min. to Lower Manhattan",37450458,"Olivia","Brooklyn","Bedford-Stuyvesant",40.68125,-73.91272,"Private room",1,118,"6/30/2019",2.74,2,216
67,"2 bedroom third floor in the heart of Brooklyn.",156535560,"Alex","Brooklyn","Flatbush",40.64116,-73.95991,"Entire home/apt",2,70,"6/24/2019",3.64,1,5
68,"BEAUTIFUL 1 BDR APT W/ PRIVATE ROOF",4352069,"Rebecca","Manhattan","East Village",40.72672,-73.97965,"Entire home/apt",1,15,"1/2/2019",0.34,2,6
69,"Spacious Cozy Greenpoint Apartment",29741970,"Jacob","Brooklyn","Greenpoint",40.72508,-73.94488,"Private room",2,14,"3/11/2017",0.37,1,0
70,"Big bright room in 3 bedroom duplex",84779589,"Maba","Brooklyn","Crown Heights",40.67112,-73.93368,"Private room",1,149,"6/25/2019",4.17,3,185
71,"Industrial Chinatown Hideaway",126449349,"John","Manhattan","Lower East Side",40.71327,-73.98866,"Entire home/apt",1,2,"1/1/2019",0.31,2,159
72,"Quiet room in apt Williamsburg 10 mins to City",101982307,"Belinda","Brooklyn","Williamsburg",40.71661,-73.9551,"Private room",2,27,"3/16/2019",1.02,2,0
73,"One Bedroom Apartment in Greenpoint!",15817123,"Stephanie","Brooklyn","Greenpoint",40.73164,-73.95323,"Entire home/apt",1,152,"6/18/2019",3.8,3,1
74,"Great Private Room with 2 Beds Near Metro",222252623,"Lisa And Julian","Brooklyn","Bedford-Stuyvesant",40.69418,-73.94409,"Private room",2,2,"6/23/2019",1.28,3,0
75,"Spacious, modern loft in awesome neighborhood",552343,"Cynthia","Brooklyn","Sunset Park",40.6623,-73.99049,"Entire home/apt",120,13,"9/1/2018",0.14,1,204
76,"Elegant 1BR @ Columbus Circle",195168,"Raees","Manhattan","Hell's Kitchen",40.76709,-73.98577,"Entire home/apt",3,16,"10/15/2016",0.24,1,0
77,"Pretty and Private in Clinton Hill",8490286,"Jan","Brooklyn","Clinton Hill",40.68653,-73.96412,"Entire home/apt",3,189,"7/1/2019",3.4,1,268
78,"Private room in quintessential BK!",35902297,"Meg","Brooklyn","Carroll Gardens",40.67416,-73.99955,"Private room",1,0,NA,NA,1,0
79,"Queen Charlotte’s in B’klyn  (accommodation for 1)",37401126,"Leah","Brooklyn","East Flatbush",40.64016,-73.94057,"Private room",2,35,"5/27/2019",2.22,4,296
80,"Great budget private room",93025114,"Estevan","Brooklyn","Bedford-Stuyvesant",40.67969,-73.93974,"Private room",3,0,NA,NA,1,0
81,"Bright & Spacious / Red Brick, Modern Kitchen!",136010789,"Rebeca & John @ Bedly","Brooklyn","Bushwick",40.69456,-73.91965,"Private room",30,1,"11/20/2018",0.13,2,9
82,"Sunny 1 Bedroom Apt in East Harlem!",32197200,"Sabrina","Manhattan","East Harlem",40.79614,-73.93787,"Entire home/apt",2,34,"7/31/2016",0.69,1,0
83,"Fully Renovated East Village Oasis",229709908,"Delia","Manhattan","East Village",40.72434,-73.98208,"Entire home/apt",3,16,"7/6/2019",3.48,1,241
84,"Private Room in Bushwick - Brooklyn",17497762,"Marco","Brooklyn","Bushwick",40.69836,-73.9212,"Private room",3,1,"12/14/2015",0.02,1,0
85,"SUITE BKLYN - Private 1 Bedroom Apartment",169012324,"Salisha","Brooklyn","East Flatbush",40.63767,-73.94011,"Entire home/apt",90,23,"9/15/2018",1.38,1,156
86,"Spacious",108355692,"Christopher","Queens","Flushing",40.75825,-73.83369,"Private room",30,0,NA,NA,1,87
87,"A Relaxing Place in Inwood",188050970,"Walkiria","Manhattan","Inwood",40.85962,-73.92971,"Private room",1,25,"6/26/2019",3.89,1,86
88,"Perfect Manhattan apartment",72977337,"Sara","Manhattan","Gramercy",40.73624,-73.97966,"Entire home/apt",4,0,NA,NA,1,4
89,"Spacious and clean bedroom in Washington Heights",55608979,"Marie","Manhattan","Washington Heights",40.8352,-73.94045,"Private room",1,3,"8/23/2017",0.13,1,0
90,"The Hot Spot",208230311,"Jordan","Manhattan","Washington Heights",40.83833,-73.94539,"Private room",1,2,"6/21/2019",2,1,278
91,"Captain's Cabin 001/Apmnt like",137999892,"Simranjeet","Staten Island","Concord",40.60531,-74.08893,"Private room",4,16,"7/1/2019",1.3,7,334
92,"Zions Destiny Home away from Home !",76453466,"Devon","Brooklyn","East Flatbush",40.66167,-73.92854,"Entire home/apt",1,112,"6/10/2019",2.99,1,244
93,"Relaxing Quiet Room Just 6 Mins from JFK Airport!",121391142,"Deloris","Queens","Springfield Gardens",40.66535,-73.76367,"Private room",1,368,"6/21/2019",13.24,2,0
94,"Great room",52539349,"Rhonda","Queens","Springfield Gardens",40.67035,-73.7541,"Entire home/apt",1,212,"7/7/2019",4.95,1,297
95,"Cozy and comfortable bedroom in Astoria, Queens",32219638,"Jorge","Queens","Astoria",40.7683,-73.9331,"Private room",1,28,"7/6/2019",1.5,1,175
96,"Unique loft space in the middle of Manhattan!",5740424,"Maria","Manhattan","Midtown",40.75045,-73.98456,"Entire home/apt",6,1,"12/30/2016",0.03,1,0
97,"900 sq. ft. Artist Loft in the Heart of Brooklyn",23832321,"Aurora And John","Brooklyn","Bedford-Stuyvesant",40.69533,-73.95439,"Entire home/apt",2,14,"11/27/2017",0.46,1,0
98,"Great cozy room near the center of NYC 12AR",190921808,"John","Manhattan","Hell's Kitchen",40.75407,-73.99528,"Private room",7,8,"6/9/2019",0.64,47,271
99,"Real 1-BR Home in West Village, Central yet Quiet!",10458139,"Jorge","Manhattan","West Village",40.73799,-74.00074,"Entire home/apt",31,81,"6/24/2019",2.36,1,85
100,"Brooklyn Royalty",44140036,"Ricardo","Brooklyn","East Flatbush",40.65185,-73.93388,"Private room",2,1,"6/25/2017",0.04,2,158
101,"Sunny, spacious UWS abode with view",258023,"Johann","Manhattan","Upper West Side",40.77799,-73.98205,"Entire home/apt",1,2,"3/10/2016",0.05,1,0
102,"Sunny Manhattan Studio",15102869,"Ellie","Manhattan","Washington Heights",40.85504,-73.93648,"Entire home/apt",7,11,"4/22/2019",0.3,1,4
103,"Modern Luxury 2bedroom in ideal Brooklyn location",4797532,"Priscilla","Brooklyn","Crown Heights",40.67267,-73.95786,"Entire home/apt",28,0,NA,NA,2,189
104,"**Cozy Room In Hip Ultra Location LES/NOLITA**",105511610,"Laura","Manhattan","Lower East Side",40.71916,-73.99229,"Private room",2,76,"6/24/2019",2.42,1,46
105,"Master Suite w/Private Bath & Balcony",2065453,"Ora & Scout","Brooklyn","Crown Heights",40.67618,-73.95607,"Private room",2,6,"4/23/2019",0.69,3,12
106,"In the heart of the West Village- cute apartment!",19068554,"Jennifer","Manhattan","West Village",40.73608,-73.99997,"Entire home/apt",3,18,"7/6/2019",1.28,1,0
107,"Charming cozy 1 bedroom in the heart of Greenpoint",4158712,"Marina","Brooklyn","Greenpoint",40.73282,-73.95208,"Entire home/apt",2,3,"6/23/2019",1.29,1,15
108,"Bright Large Bedroom in Heart of Bed Stuy w/Garden",17591452,"Xavier","Brooklyn","Bedford-Stuyvesant",40.6839,-73.94452,"Private room",3,14,"10/30/2018",0.61,1,0
109,"Large Bushwick Bedroom in Newly Renovated Aprtment",51985960,"Jonathan","Brooklyn","Williamsburg",40.70748,-73.92835,"Private room",3,0,NA,NA,2,34
110,"Astoria 1 Bedroom Apt 10 minutes from LGA Airport",23260853,"Rich","Queens","Astoria",40.76889,-73.92957,"Entire home/apt",2,4,"6/17/2019",0.92,1,14
111,"Large Private Bedroom in Brownstone Apartment",225513415,"Tresanna","Brooklyn","Bedford-Stuyvesant",40.69195,-73.93892,"Private room",2,26,"6/27/2019",3.66,2,21
112,"No security req,great price,new queen bed!",10784618,"Miguel","Brooklyn","Bedford-Stuyvesant",40.68162,-73.94848,"Private room",5,8,"4/30/2018",0.21,1,270
113,"Cozy Private Room 2MIN  to subway 6MIN to Columbia",11309985,"Jean","Manhattan","Upper West Side",40.8028,-73.96678,"Private room",2,8,"7/1/2016",0.21,2,0
114,"Classic Exposed Brick Apartment in East Village",40008334,"Jennifer","Manhattan","East Village",40.7282,-73.98001,"Private room",1,159,"6/23/2019",4.34,1,84
115,"Sunny/Huge private room, by Columbia/Jazz clubs",23974215,"Alex","Manhattan","Harlem",40.80649,-73.95225,"Private room",2,38,"6/15/2019",0.68,2,147
116,"Beautiful, spacious loft in Clinton Hill",8250822,"Sabrina","Brooklyn","Bedford-Stuyvesant",40.69284,-73.96065,"Entire home/apt",3,4,"12/25/2018",0.31,1,7
117,"NYCTH Master Room",172640229,"Jirapong","Queens","Woodside",40.74301,-73.8954,"Private room",1,2,"4/22/2019",0.16,1,96
118,"Sunny Williamsburg 1 Bedroom apt",1479763,"Anthony","Brooklyn","Williamsburg",40.71228,-73.94211,"Entire home/apt",3,7,"9/14/2018",0.18,1,0
119,"Great private room in Sunnyside NYC 7 min Subway",58234433,"Martin","Queens","Sunnyside",40.73587,-73.92027,"Private room",1,11,"6/3/2019",1.1,8,319
120,"Pvt Room in Charming  Pet-Friendly Apt in Bedstuy.",42474896,"Eric","Brooklyn","Bedford-Stuyvesant",40.68245,-73.95223,"Private room",1,3,"4/21/2019",0.45,1,48
121,"Large room, rooftop, queen bed",41667978,"Doreen","Manhattan","Lower East Side",40.71449,-73.987,"Private room",2,1,"9/5/2015",0.02,1,0
122,"Cozy, neat, spacious 2 BR apartment in East Harlem",2247818,"Gonda","Manhattan","East Harlem",40.80268,-73.94051,"Entire home/apt",10,28,"5/31/2019",0.97,1,0
123,"Cozy & Calm",592967,"Portia","Brooklyn","Bedford-Stuyvesant",40.67883,-73.94438,"Shared room",7,1,"4/19/2019",0.37,1,344
124,"UWS Lovely NYC Home - Private Entry&Bath",6509584,"Lila","Manhattan","Upper West Side",40.80059,-73.96552,"Entire home/apt",1,123,"7/1/2019",2.89,1,80
125,"Sunny, Spacious Pad In Unbeatable Wburg Location",259240,"Andrea","Brooklyn","Williamsburg",40.71675,-73.95614,"Entire home/apt",3,2,"1/1/2018",0.11,1,0
126,"Private room in 3rd bedroom apt.",27212322,"Krupa","Manhattan","Hell's Kitchen",40.75563,-73.99424,"Private room",1,0,NA,NA,1,0
127,"Up to 1 Week Rental in Williamsburg",5769963,"Anoush","Brooklyn","Williamsburg",40.7172,-73.95557,"Entire home/apt",1,0,NA,NA,1,0
128,"PRIVATE Room in Spacious, Quiet Apt",277379,"Agnes","Manhattan","Harlem",40.82537,-73.94392,"Private room",1,439,"7/5/2019",5.12,2,238
129,"Charming home away from home.",147339774,"Keverel","Brooklyn","Crown Heights",40.66978,-73.94454,"Entire home/apt",2,40,"9/24/2018",1.78,1,0
130,"Bedroom built for... just sleeping",50914877,"Kyle","Manhattan","Harlem",40.8185,-73.9442,"Private room",4,1,"12/30/2015",0.02,1,0
131,"Apt. & the City.",75360607,"Fernando","Queens","Sunnyside",40.74026,-73.92517,"Entire home/apt",4,63,"6/1/2019",2.81,2,61
132,"Charming living room in Astoria",32833549,"Siju","Queens","Astoria",40.76541,-73.92009,"Shared room",1,1,"9/27/2015",0.02,1,363
133,"R4 Private Queen Room LGA JFK Manhattan 15 min!",263053182,"Fmny","Queens","Rego Park",40.7258,-73.86715,"Private room",1,2,"6/27/2019",2,10,127
134,"Charming room in South Williamsburg,  Brooklyn.",10571574,"Claudia","Brooklyn","Bedford-Stuyvesant",40.69892,-73.94645,"Private room",2,74,"6/29/2019",1.88,1,343
135,"Fully Private Cozy Studio Close to NY Attractions!",110539055,"Manny","Bronx","Williamsbridge",40.87905,-73.85243,"Entire home/apt",2,14,"7/1/2019",2.98,2,300
136,"NYC Room Sublet, Private Space, Air conditioner",139170973,"Wonkyung","Manhattan","Harlem",40.81949,-73.95521,"Private room",7,0,NA,NA,1,0
137,"Cute apartment",5909599,"Danica","Queens","Ditmars Steinway",40.77776,-73.91455,"Entire home/apt",3,1,"5/10/2019",0.5,2,11
138,"Sunny Private Room at Central Park!",9784206,"Saint","Manhattan","East Harlem",40.79508,-73.94895,"Private room",1,204,"7/5/2019",3.41,1,219
139,"Bright Private Room in Brooklyn",6186498,"Heeran","Queens","Ridgewood",40.69946,-73.90833,"Private room",2,81,"7/5/2019",4.1,1,34
140,"A charming UES apartment",11183488,"Ashley","Manhattan","Upper East Side",40.78328,-73.95273,"Entire home/apt",1,0,NA,NA,1,0
141,"10 mins/Airports JFK/LGA/Hosp/malls bus/train# 1",126247863,"Seeranie","Queens","Richmond Hill",40.69104,-73.82204,"Private room",1,102,"6/23/2019",4.02,2,354
142,"Top floor!",11457662,"Indie","Brooklyn","Bensonhurst",40.60918,-73.99799,"Entire home/apt",2,0,NA,NA,2,0
143,"••BEST Manhattan Downtown Location!••",9339714,"Jessica","Manhattan","Gramercy",40.73304,-73.9843,"Entire home/apt",3,103,"6/24/2019",2.46,2,270
144,"Best NYC Deal on upper west!",10346860,"Shlom And Lyndz","Manhattan","Upper West Side",40.79994,-73.97094,"Entire home/apt",1,0,NA,NA,1,0
145,"Living Room in 2 Bedroom Apartment Brighton Beach",119523037,"Anna","Brooklyn","Brighton Beach",40.58017,-73.9616,"Shared room",1,1,"9/13/2017",0.05,4,1
146,"Great Location For New Year's Weekend",39706100,"Dan","Manhattan","Upper West Side",40.79317,-73.96956,"Private room",3,6,"8/28/2015",0.13,1,0
147,"Dream Apartment - Greenwich Village",7020798,"Light","Manhattan","Greenwich Village",40.73104,-73.99957,"Entire home/apt",12,16,"3/16/2019",0.22,1,35
148,"Designer's Studio with Cats +Yard",2290932,"Jack","Brooklyn","Fort Greene",40.68579,-73.97455,"Entire home/apt",2,4,"5/27/2018",0.17,1,0
149,"Urban Zen in Historic Stuyvesant Heights",70773274,"Micah","Brooklyn","Bedford-Stuyvesant",40.68414,-73.93538,"Entire home/apt",6,0,NA,NA,1,252
150,"Gateway to Harlem Luxury",35100060,"Jessica","Manhattan","Harlem",40.80126,-73.95037,"Private room",5,0,NA,NA,2,0
151,"BRIGHT MODERN CLEAN townhouse 4 Bedroom 6 guests",1226742,"Johnny","Brooklyn","Clinton Hill",40.68383,-73.96319,"Entire home/apt",2,62,"6/24/2019",2.01,2,294
152,"The Empress den",270651073,"Nazesta","Queens","Edgemere",40.5954,-73.7764,"Private room",3,0,NA,NA,1,363
153,"Cozy room in Soho",69720852,"Yana","Manhattan","SoHo",40.7204,-74.00027,"Private room",3,1,"4/12/2019",0.34,3,86
154,"2 bedroom with yard, 4 mins to LGA",19758179,"Telmo","Queens","East Elmhurst",40.76287,-73.88367,"Entire home/apt",3,102,"6/4/2019",1.73,1,300
155,"Clean and comfortable Upper East Side location",253071059,"Eugenio","Manhattan","East Harlem",40.78995,-73.94603,"Private room",1,7,"5/28/2019",2.56,1,0
156,"Private Bamboo Garden Studio",636319,"Roger","Brooklyn","South Slope",40.66252,-73.98433,"Entire home/apt",2,0,NA,NA,1,0
157,"Extra Large 1BR by Park Ave in Upper East Side",45595980,"Tny","Manhattan","Upper East Side",40.76876,-73.96686,"Entire home/apt",30,0,NA,NA,12,58
158,"Room near JFK Queen Bed",47621202,"Dona","Queens","Jamaica",40.6673,-73.76831,"Private room",1,629,"7/5/2019",14.58,2,333
159,"Luxury Style Space: ideal for short or longterm!",50199714,"Dellasie","Brooklyn","Crown Heights",40.672,-73.94247,"Private room",1,86,"6/10/2019",2.16,1,4
160,"Gorgeous stylish townhouse in Brooklyn",350055,"Claire","Brooklyn","Prospect Heights",40.67641,-73.96775,"Entire home/apt",4,7,"4/15/2019",0.2,1,25
161,"Cozy Greenpoint",1720151,"Sally","Brooklyn","Greenpoint",40.72208,-73.94275,"Entire home/apt",2,0,NA,NA,2,364
162,"One Bedroom w/ Backyard Oasis in Williamsburg",160503827,"Christopher","Brooklyn","Williamsburg",40.71157,-73.94308,"Entire home/apt",3,7,"3/31/2019",0.36,1,0
163,"EXECUTIVE MANHATTAN GREEN ROOM WITH ALL AMENITIES",71176668,"David","Manhattan","Harlem",40.81604,-73.94017,"Private room",2,20,"6/3/2019",0.58,4,5
164,"Spacious  Room in Downtown Brooklyn",6604691,"Dhruti","Brooklyn","Downtown Brooklyn",40.69531,-73.98306,"Private room",5,0,NA,NA,1,0
165,"Big WBurg Rm, 5 min from L, Fits 4!",18272570,"Qian","Brooklyn","Williamsburg",40.70917,-73.94918,"Private room",2,43,"6/30/2016",0.72,1,0
166,"Brooklyn - Bushwick - NYC #2",81274648,"Ming","Brooklyn","Bushwick",40.69628,-73.93068,"Private room",2,71,"6/22/2019",2.8,4,90
167,"1 BEDROOM PENTHOUSE W AMAZING VIEWS",7951613,"Andrew","Queens","Long Island City",40.7419,-73.95738,"Entire home/apt",2,7,"7/3/2016",0.14,1,0
168,"sunny airy bohemian rm, private bath! hip 'shwick",948164,"Theodora","Brooklyn","Bushwick",40.7014,-73.91798,"Private room",2,4,"4/30/2018",0.12,1,0
